timestamp	vm_id	val_metric	seed	cls	box	dfl	mosaic	mixup	copy_paste	degrees	scale	epochs	close_mosaic	warmup_epochs	freeze	label_smoothing	duration_min	status	notes
2026-03-21 14:35	cls	0.0000	2374	1.2	7.5	2.0	1.0	0.1	0.05	5.0	0.7	280	10	3.0	None	0.0	0.0	failed	exit 1
2026-03-21 14:36	cls	0.0000	4891	1.2	5.0	1.0	1.0	0.15	0.05	5.0	0.7	350	15	3.0	None	0.0	0.0	failed	exit 1
2026-03-21 14:36	cls	0.0000	4334	1.0	10.0	1.5	1.0	0.1	0.15	10.0	0.7	280	30	3.0	None	0.0	0.0	failed	exit 1
2026-03-21 14:36	cls	0.0000	8019	1.2	10.0	2.0	1.0	0.15	0.15	10.0	0.3	350	10	5.0	None	0.0	0.0	failed	exit 1
2026-03-21 14:36	cls	0.0000	8283	1.0	10.0	1.0	1.0	0.05	0.15	15.0	0.3	300	20	3.0	10	0.1	0.0	failed	exit 1
2026-03-21 14:36	cls	0.0000	7324	1.0	5.0	1.0	0.8	0.15	0.05	5.0	0.7	300	20	3.0	10	0.0	0.0	failed	exit 1
2026-03-21 14:37	cls	0.0000	7371	1.0	5.0	1.0	0.8	0.1	0.05	5.0	0.5	350	10	5.0	None	0.0	0.0	failed	exit 1
2026-03-21 14:37	cls	0.0000	5025	1.0	10.0	1.0	0.9	0.15	0.1	10.0	0.3	300	15	3.0	None	0.0	0.0	failed	exit 1
2026-03-21 14:37	cls	0.0000	8799	0.9	5.0	1.5	1.0	0.15	0.05	15.0	0.5	280	20	5.0	None	0.0	0.0	failed	exit 1
2026-03-21 14:37	cls	0.0000	7948	1.0	7.5	2.0	0.8	0.1	0.15	5.0	0.5	300	15	3.0	None	0.0	0.0	failed	exit 1
2026-03-21 14:37	cls	0.0000	9976	1.0	7.5	2.0	1.0	0.2	0.15	5.0	0.3	300	10	5.0	None	0.0	0.0	failed	exit 1
2026-03-21 14:38	cls	0.0000	4716	1.2	7.5	1.5	0.9	0.2	0.1	10.0	0.3	300	20	3.0	None	0.05	0.0	failed	exit 1
2026-03-21 14:38	cls	0.0000	5544	1.0	10.0	1.0	0.9	0.1	0.1	5.0	0.3	300	30	3.0	None	0.0	0.0	failed	exit 1
2026-03-21 14:38	cls	0.0000	2374	1.2	7.5	2.0	1.0	0.1	0.05	5.0	0.7	280	10	3.0	None	0.0	0.1	failed	exit 1
